"dwal","p","u:0","u:1","u:2","ybar:0","ybar:1","ybar:2","Points:0","Points:1","Points:2"
0.000000000e+00,9.695179827e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.173420000e-01,1.120229436e-01,0.000000000e+00
1.073776002e-05,9.695179677e+04,-5.875615473e-02,-1.000364611e-03,0.000000000e+00,-5.535091180e-02,-7.140361980e-04,0.000000000e+00,2.173420000e-01,1.120121999e-01,0.000000000e+00
2.000365170e-05,9.695179548e+04,-1.094583649e-01,-1.863605184e-03,0.000000000e+00,-1.031146495e-01,-1.330196557e-03,0.000000000e+00,2.173420000e-01,1.120029289e-01,0.000000000e+00
4.002403328e-05,9.695179391e+04,-2.191516477e-01,-7.997216737e-03,0.000000000e+00,-2.047852979e-01,-6.640453221e-03,0.000000000e+00,2.173420000e-01,1.119829301e-01,0.000000000e+00
5.568061820e-05,9.695179366e+04,-3.009382331e-01,-8.352182143e-03,0.000000000e+00,-2.821089782e-01,-7.247829600e-03,0.000000000e+00,2.173420000e-01,1.119672649e-01,0.000000000e+00
6.920456595e-05,9.695179345e+04,-3.715843871e-01,-8.658796492e-03,0.000000000e+00,-3.489001347e-01,-7.772473159e-03,0.000000000e+00,2.173420000e-01,1.119537336e-01,0.000000000e+00
3.074037627e-05,9.695179398e+04,-1.682088537e-01,-2.863873329e-03,0.000000000e+00,-1.584602238e-01,-2.044163900e-03,0.000000000e+00,2.173420000e-01,1.119921863e-01,0.000000000e+00
8.485894687e-05,9.695179320e+04,-4.533594593e-01,-9.013711929e-03,0.000000000e+00,-4.262129301e-01,-8.379764038e-03,0.000000000e+00,2.173420000e-01,1.119380706e-01,0.000000000e+00
9.840952852e-05,9.695179342e+04,-5.249153487e-01,-1.601587984e-02,0.000000000e+00,-4.918527233e-01,-1.505497448e-02,0.000000000e+00,2.173420000e-01,1.119245600e-01,0.000000000e+00
1.212333323e-04,9.695179357e+04,-6.305007849e-01,-1.646647957e-02,0.000000000e+00,-5.929856913e-01,-1.565872936e-02,0.000000000e+00,2.173420000e-01,1.119017237e-01,0.000000000e+00
1.409769325e-04,9.695179369e+04,-7.218368592e-01,-1.685626828e-02,0.000000000e+00,-6.804701836e-01,-1.618100405e-02,0.000000000e+00,2.173420000e-01,1.118819693e-01,0.000000000e+00
1.637960445e-04,9.695179384e+04,-8.274005905e-01,-1.730677539e-02,0.000000000e+00,-7.815823619e-01,-1.678463482e-02,0.000000000e+00,2.173420000e-01,1.118591377e-01,0.000000000e+00
1.835800272e-04,9.695179383e+04,-9.218017440e-01,-2.715697362e-02,0.000000000e+00,-8.703358733e-01,-2.589545760e-02,0.000000000e+00,2.173420000e-01,1.118394122e-01,0.000000000e+00
2.168416846e-04,9.695179320e+04,-1.032922572e+00,-2.775736191e-02,0.000000000e+00,-9.782084399e-01,-2.621142241e-02,0.000000000e+00,2.173420000e-01,1.118061324e-01,0.000000000e+00
2.456756722e-04,9.695179265e+04,-1.129251403e+00,-2.827782872e-02,0.000000000e+00,-1.071721406e+00,-2.648532715e-02,0.000000000e+00,2.173420000e-01,1.117772826e-01,0.000000000e+00
