"dwal","p","ybar:0","ybar:1","ybar:2","Points:0","Points:1","Points:2"
2.470373103e-07,9.697636072e+04,3.877954917e-05,4.857911323e-08,0.000000000e+00,2.173420000e-01,-3.333725296e-02,0.000000000e+00
0.000000000e+00,9.697636072e+04,0.000000000e+00,0.000000000e+00,0.000000000e+00,2.173420000e-01,-3.333750000e-02,0.000000000e+00
1.000000000e-06,9.697636073e+04,1.454713885e-04,3.782204363e-07,0.000000000e+00,2.173420000e-01,-3.333650000e-02,0.000000000e+00
3.250002661e-06,9.697636074e+04,4.912523606e-04,1.241130758e-06,0.000000000e+00,2.173420000e-01,-3.333425000e-02,0.000000000e+00
2.308797295e-06,9.697636074e+04,3.409945952e-04,8.732329154e-07,0.000000000e+00,2.173420000e-01,-3.333519120e-02,0.000000000e+00
2.000000000e-06,9.697636074e+04,2.871674391e-04,8.160128099e-07,0.000000000e+00,2.173420000e-01,-3.333550000e-02,0.000000000e+00
1.247037310e-06,9.697636073e+04,1.804755997e-04,4.863714868e-07,0.000000000e+00,2.173420000e-01,-3.333625296e-02,0.000000000e+00
6.062511974e-06,9.697636073e+04,9.806426927e-04,2.277028425e-06,0.000000000e+00,2.173420000e-01,-3.333143749e-02,0.000000000e+00
4.886002763e-06,9.697636073e+04,7.664462161e-04,1.824998720e-06,0.000000000e+00,2.173420000e-01,-3.333261400e-02,0.000000000e+00
4.500005322e-06,9.697636073e+04,6.908077535e-04,1.729731120e-06,0.000000000e+00,2.173420000e-01,-3.333299999e-02,0.000000000e+00
3.558799956e-06,9.697636074e+04,5.405499881e-04,1.361833277e-06,0.000000000e+00,2.173420000e-01,-3.333394120e-02,0.000000000e+00
9.578156100e-06,9.697636074e+04,1.681657153e-03,3.495958597e-06,0.000000000e+00,2.173420000e-01,-3.332792184e-02,0.000000000e+00
8.107516455e-06,9.697636074e+04,1.372712572e-03,3.028401427e-06,0.000000000e+00,2.173420000e-01,-3.332939248e-02,0.000000000e+00
