# density,m,p,t,a,sa1,sa2,sa3,sa4,sa5,sa6,sa7
-1.683372620630792516e-01,4.900624244135118879e-01,0.000000000000000000e+00,0.000000000000000000e+00,-4.392614102708821688e-01,2.188077971305722180e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.296284212776865452e-01,-8.629361594584719630e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.893919724922678682e-02,8.747281112453875185e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.902551551132067420e-01,2.045044663224796777e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.832403995077642844e-01,1.132816759287784414e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.582644720881035139e-01,5.652885460699616504e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.153875709983483322e-01,-9.962398660057557309e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.749719746189273728e-01,4.667962196697535981e-01,0.000000000000000000e+00,0.000000000000000000e+00,-6.645166543014929816e-02,3.749008970034114485e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.993600293624717135e-01,1.434776629065992737e-01,0.000000000000000000e+00,0.000000000000000000e+00,-1.556950159996774441e-01,2.484533463645047235e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.536107041973351128e-01,3.679157048217038817e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.021512498973648819e-02,1.420682800921121980e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.945242864384040371e-01,3.108477466512894472e-01,0.000000000000000000e+00,0.000000000000000000e+00,-3.681304912220647041e-01,1.569906223768381126e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-9.158934589437423002e-02,1.524150954790800261e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.820815688387614983e-02,3.024293245002790398e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.192644683131794725e-02,5.462916410775925380e-02,0.000000000000000000e+00,0.000000000000000000e+00,-9.805057236799197273e-03,3.175373634523177557e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.984356148263531905e-02,4.643562326216192915e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.680063198319206919e-01,1.715791950954690670e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.753827876756945736e-01,-2.200809083870249039e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.017933062483095563e-01,-8.828835204960569505e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.128180356234853576e-03,-1.415734972327636898e-03,0.000000000000000000e+00,0.000000000000000000e+00,-4.412372525744687746e-01,1.964024105776050189e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
