41 61
1 -1
1 0
0 0
0 1
-1 1
-1 -1
-1 0.442806
-0.432553 -0.483599
-1 -0.432637
-1 0.00637121
-0.515173 -0.132178
-0.501194 0.190863
-0.384098 0.508378
-0.295775 -1
-0.189954 0.2571
-0.434259 1
-0.260808 -0.155728
-0.128802 -0.294054
-0.271161 0.0533199
-0.0982772 -0.113237
-0.14208 -0.0135049
-0.0433108 -0.559593
-0.109604 0.109336
-7.96304e-012 0.219027
-0.0496749 -0.0196877
-3.76538e-013 0.0290697
0.00429992 -0.152683
-0.0155468 -0.0582114
-0.0559373 0.0367003
0.0909764 -0.282989
0.12102 -0.106482
0.0373545 -0.0477512
3.96938e-012 0.094455
-9.94002e-012 0.477866
0.0764175 4.3236e-012
0.302849 -0.191713
0.209843 -8.85568e-012
0.299644 -0.500484
0.299074 -1
0.678361 -0.399483
0.479975 4.0758e-011
13 16 5
6 14 8
7 13 5
4 16 13
22 8 14
22 14 39
22 39 38
9 6 8
11 10 9
11 9 8
40 2 41
40 1 2
40 39 1
40 38 39
34 4 13
36 38 40
36 40 41
18 8 22
12 13 7
12 7 10
12 10 11
15 34 13
15 13 12
24 34 15
30 38 36
30 22 38
30 27 18
30 18 22
31 32 27
31 27 30
31 30 36
28 32 3
28 27 32
17 11 8
17 8 18
23 24 15
37 36 41
37 31 36
19 12 11
19 11 17
19 15 12
19 23 15
20 27 28
20 18 27
20 17 18
35 32 31
35 31 37
35 3 32
25 20 28
25 3 29
25 28 3
21 19 17
21 17 20
21 20 25
21 25 29
21 29 23
21 23 19
26 29 3
33 29 26
33 23 29
33 24 23
